"TOA5","45736","CR1000X","45736","CR1000X.Std.07.02","CPU:GCF_2_Lorenz.CR1X","948","low_freq"
"TIMESTAMP","RECORD","BattV_Min","BattV_Avg","PTemp_C_Avg","SR01Up_Avg","SR01Dn_Avg","IR01Up_Avg","IR01Dn_Avg","NR01TC_Avg","NR01TK_Avg","NetRs_Avg","NetRl_Avg","Albedo_Avg","UpTot_Avg","DnTot_Avg","NetTot_Avg","IR01UpCo_Avg","IR01DnCo_Avg","VWC_1_Avg","EC_1_Avg","T_1_Avg","P_1","PA_1","VR_1","SHF_Avg","TCAV_Avg","AirTC_Avg","RH"
"TS","RN","Volts","Volts","Deg C","W/m2","W/m2","W/m2","W/m2","Deg C","K","W/m2","W/m2","W/m2","W/m2","W/m2","W/m2","W/m2","W/m2","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","W/m^2","C","Deg C","%"
"","","Min","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Avg","Avg","Avg","Smp"
"2024-04-22 09:55:00",0,12.99,12.99,11.44,399.4,74.7,0.567,9.91,6.971,280.1,324.7,-9.34,0.187,399.9,84.6,315.3,349.7,359,0.034,0.01,7.693,3.1447,1.2094,1.0135,252.5008,5.677,5.712,69.65
"2024-04-22 09:56:00",1,12.98,13,11.46,408,78.47,0.394,9.28,6.98,280.1,329.5,-8.89,0.192,408.4,87.8,320.7,349.6,358.4,0.034,0.01,7.701,3.1495,1.2094,1.0128,376.5073,5.684,5.672,70.96
"2024-04-22 09:57:00",2,13.01,13.02,11.49,419.3,82.8,0.54,8.55,6.976,280.1,336.5,-8.01,0.197,419.8,91.3,328.5,349.7,357.7,0.034,0.01,7.699,3.155,1.2094,1.012,402.2753,5.701,5.698,71.64
"2024-04-22 09:58:00",3,13.01,13.02,11.49,426.1,84.2,0.427,8.48,6.979,280.1,341.8,-8.05,0.198,426.5,92.7,333.8,349.6,357.6,0.034,0.01,7.7,3.1499,1.2094,1.0127,402.3656,5.717,5.857,71.22
"2024-04-22 09:59:00",4,13,13.01,11.5,426.1,83.8,0.393,9.31,6.999,280.1,342.3,-8.91,0.197,426.5,93.1,333.4,349.6,358.6,0.033,0.01,7.699,3.1253,1.2083,1.0129,402.969,5.703,6.019,70.19
"2024-04-22 10:00:00",5,12.99,13,11.51,423.7,85,0.568,8.82,7.045,280.2,338.7,-8.25,0.201,424.2,93.8,330.5,350,358.3,0.034,0.01,7.714,3.1503,1.2094,1.0127,411.2826,5.676,6.092,69.14
"2024-04-22 10:01:00",6,12.98,12.99,11.53,412.4,83.9,0.243,8.69,7.062,280.2,328.5,-8.45,0.203,412.6,92.5,320.1,349.8,358.3,0.034,0.01,7.718,3.1273,1.2083,1.0126,422.1806,5.597,6.124,66.81
"2024-04-22 10:02:00",7,12.97,12.98,11.55,397,81.1,0.232,8.71,7.079,280.2,315.9,-8.48,0.204,397.3,89.8,307.5,349.9,358.4,0.033,0.01,7.742,3.1174,1.2083,1.014,429.7482,5.553,6.156,65.05
"2024-04-22 10:03:00",8,12.96,12.97,11.56,386.6,78.69,0.282,8.88,7.061,280.2,307.9,-8.6,0.204,386.8,87.6,299.3,349.8,358.4,0.033,0.01,7.751,3.1202,1.2083,1.0136,438.1611,5.637,6.174,65.75
"2024-04-22 10:04:00",9,12.95,12.96,11.54,380.5,76.91,0.255,8.78,7.043,280.2,303.6,-8.52,0.202,380.8,85.7,295.1,349.7,358.3,0.034,0.01,7.759,3.1483,1.2094,1.013,440.4588,5.602,6.064,67.68
"2024-04-22 10:05:00",10,12.92,12.94,11.53,372.9,73.98,0.065,10.04,7.064,280.2,299,-9.97,0.198,373,84,289,349.6,359.6,0.034,0.01,7.76,3.1415,1.2094,1.014,429.843,5.554,6.029,70.12
"2024-04-22 10:06:00",11,12.91,12.93,11.53,359.9,71.16,-0.008,11.17,7.09,280.2,288.8,-11.18,0.198,359.9,82.3,277.6,349.7,360.9,0.034,0.01,7.758,3.1499,1.2094,1.0127,425.1642,5.574,-10.92,"NAN"
"2024-04-22 10:07:00",12,12.91,12.92,11.53,349.1,70.38,0.099,10.09,7.119,280.3,278.8,-9.99,0.202,349.2,80.5,268.8,350,359.9,0.034,0.01,7.731,3.1491,1.2094,1.0129,432.535,5.665,-86.5,2.468
"2024-04-22 10:08:00",13,12.91,12.92,11.52,345.9,68.49,-0.032,11.44,7.142,280.3,277.4,-11.48,0.198,345.9,79.93,265.9,349.9,361.4,0.033,0.01,7.705,3.1261,1.2083,1.0127,459.2015,5.707,8.12,84.6
"2024-04-22 10:09:00",14,12.93,12.94,11.53,344.6,70.63,0.294,9.26,7.168,280.3,274,-8.97,0.205,344.9,79.89,265,350.4,359.4,0.034,0.01,7.671,3.1518,1.2094,1.0125,501.4197,5.793,12.9,47.18
"2024-04-22 10:10:00",15,12.93,12.94,11.53,340,68.96,0.535,8.86,7.174,280.3,271,-8.33,0.203,340.5,77.83,262.7,350.7,359,0.033,0.01,7.659,3.1273,1.2083,1.0126,538.9608,5.81,-53.09,-36.01
"2024-04-22 10:11:00",16,12.92,12.93,11.52,331.3,66.67,0.22,8.43,7.169,280.3,264.6,-8.21,0.201,331.5,75.1,256.4,350.3,358.5,0.034,0.01,7.657,3.1483,1.2094,1.013,565.6948,5.847,-139.7,-69.43
"2024-04-22 10:12:00",17,12.92,12.93,11.53,329.1,64.94,0.067,8.32,7.177,280.3,264.1,-8.26,0.197,329.1,73.26,255.9,350.2,358.5,0.033,0.01,7.668,3.1534,1.2094,1.0122,557.0954,5.766,-185.4,-89.7
"2024-04-22 10:13:00",18,12.93,12.94,11.54,335.1,65.68,0.232,8.41,7.202,280.4,269.5,-8.18,0.196,335.4,74.09,261.3,350.5,358.7,0.034,0.01,7.664,3.1241,1.2083,1.013,518.7083,5.74,-211.4,-101.9
"2024-04-22 10:14:00",19,12.92,12.93,11.55,344,65.76,0.246,10.22,7.233,280.4,278.2,-9.97,0.191,344.2,75.98,268.2,350.7,360.6,0.033,0.01,7.667,3.1245,1.2083,1.013,453.6036,5.819,"NAN",53.71
"2024-04-22 10:15:00",20,12.91,12.92,11.57,350.9,67.3,0.319,11.04,7.261,280.4,283.6,-10.72,0.192,351.2,78.34,272.9,350.9,361.6,0.034,0.01,7.672,3.1483,1.2094,1.013,375.4914,5.903,9.43,55.02
"2024-04-22 10:16:00",21,12.9,12.91,11.56,355,68.12,0.362,9.86,7.243,280.4,286.9,-9.5,0.192,355.3,77.98,277.4,350.8,360.3,0.034,0.01,7.662,3.1526,1.2094,1.0123,277.0087,6.02,8.47,57.29
"2024-04-22 10:17:00",22,12.92,12.94,11.54,361,72.35,0.654,8.47,7.204,280.4,288.6,-7.814,0.2,361.6,80.8,280.8,350.9,358.7,0.033,0.01,7.656,3.1467,1.2094,1.0132,210.1625,6.03,7.702,61.41
"2024-04-22 10:18:00",23,12.94,12.95,11.51,364.1,72.46,0.699,8.17,7.109,280.3,291.6,-7.467,0.199,364.8,80.6,284.2,350.5,358,0.034,0.01,7.621,3.1253,1.2083,1.0129,167.3582,6.011,7.101,63.53
"2024-04-22 10:19:00",24,12.97,12.98,11.48,369.7,72.56,1.188,8.38,6.991,280.1,297.2,-7.197,0.196,370.9,80.9,290,350.4,357.6,0.033,0.01,7.577,3.1443,1.2094,1.0136,140.1159,6.011,6.645,64.45
"2024-04-22 10:20:00",25,12.97,12.98,11.46,370.5,71.75,0.829,8.52,6.843,280,298.8,-7.688,0.194,371.3,80.3,291.1,349.3,357,0.033,0.01,7.514,3.1451,1.2094,1.0134,127.8928,6.033,6.203,65.6
"2024-04-22 10:21:00",26,12.95,12.96,11.45,355.4,70.03,0.634,8.72,6.753,279.9,285.4,-8.08,0.197,356.1,78.75,277.3,348.7,356.7,0.034,0.01,7.456,3.153,1.2094,1.0123,121.0273,6.043,5.963,67.43
"2024-04-22 10:22:00",27,12.94,12.95,11.43,337.7,66.93,0.518,8.93,6.714,279.9,270.8,-8.41,0.198,338.2,75.86,262.4,348.3,356.8,0.033,0.01,7.415,3.1201,1.2083,1.0136,126.6143,6.063,5.857,68.65
"2024-04-22 10:23:00",28,12.9,12.93,11.42,329.8,64.86,0.238,9.05,6.706,279.9,264.9,-8.81,0.197,330,73.92,256.1,348,356.8,0.034,0.01,7.394,3.1522,1.2094,1.0124,141.4587,6.08,5.859,70.1
"2024-04-22 10:24:00",29,12.91,12.92,11.41,336.1,65.91,0.229,8.75,6.697,279.8,270.2,-8.52,0.196,336.3,74.67,261.7,348,356.5,0.033,0.01,7.321,3.1514,1.2094,1.0125,153.8103,6.082,5.903,69.3
"2024-04-22 10:25:00",30,12.91,12.92,11.4,350.2,67.93,0.315,8.94,6.698,279.8,282.3,-8.63,0.194,350.5,76.87,273.7,348.1,356.7,0.034,0.01,7.294,3.1486,1.2094,1.0129,176.3009,6.088,5.882,70.71
"2024-04-22 10:26:00",31,12.91,12.92,11.4,361.4,71.48,0.176,8.92,6.719,279.9,290,-8.75,0.198,361.6,80.4,281.2,348,356.8,0.034,0.01,7.29,3.147,1.2094,1.0132,196.3575,6.114,5.998,69.22
"2024-04-22 10:27:00",32,12.92,12.93,11.39,360.6,72.18,0.444,8.98,6.734,279.9,288.4,-8.54,0.2,361,81.2,279.9,348.4,356.9,0.034,0.01,7.285,3.1482,1.2094,1.013,220.2608,6.113,6.149,69.16
