time,avg,std,smooth,snow_status
1,75.36364,10.322526117891178,66.625,True
2,76.75,3.7782270974625125,67.57143,True
3,67.57143,3.8883219541400664,69.0,True
4,69.0,13.73559851869101,69.388885,True
5,69.388885,10.948109933276662,69.388885,True
6,66.625,11.372743104206904,69.55556,True
7,71.77778,7.483778754375657,69.55556,True
8,69.55556,8.43891449048856,69.583336,True
9,69.583336,14.565083819417817,69.583336,True
10,72.35,10.556856644959343,69.6,True
11,75.0,10.586941642104827,69.6,True
12,73.05,9.226923165991526,69.6,True
13,74.05,9.488150504708491,69.64286,True
14,71.541664,11.499917654514142,70.583336,True
15,72.26923,10.643102979189901,70.1,True
16,74.958336,5.694727758411655,70.1,True
17,74.0,9.613977919080709,70.583336,True
18,65.45,10.223746866975924,71.35,True
19,69.6,8.540101482613268,71.541664,True
20,68.416664,7.289833102799178,71.77778,True
21,69.64286,11.862807023474273,72.26923,True
22,67.388885,8.15390158826504,72.333336,True
23,70.583336,7.612290699715145,72.35,True
24,68.0,9.501196096951544,72.333336,True
25,68.666664,5.942432162002359,72.26923,True
26,74.45,9.667959683637726,71.541664,True
27,71.35,8.226143959623151,71.541664,True
28,70.1,8.188406438373708,72.26923,True
29,74.05,8.600549078078936,71.35,True
30,72.333336,7.855086310944072,70.611115,True
31,73.45,12.468738686990134,70.611115,True
32,73.625,8.40811682669958,71.35,True
33,76.75,17.590243507884324,72.333336,True
34,74.75,9.281317640446163,72.333336,True
35,74.25,7.634897947364241,72.65,True
36,76.611115,6.575417181526287,72.72727,True
37,66.666664,7.026734661277599,73.45,True
38,70.611115,10.448617665084273,73.625,True
39,70.041664,8.335189187287762,73.625,True
40,72.72727,7.524505420170939,73.45,True
41,75.166664,8.097067370350823,73.625,True
42,68.07143,13.932661182238219,73.75,True
43,69.954544,9.83731301081384,73.625,True
44,72.333336,10.148305042621415,73.75,True
45,77.916664,5.342085621541346,73.75,True
46,77.27273,12.133349983338558,74.25,True
47,79.0,4.993746088859544,74.25,True
48,72.65,9.868721632849244,74.25,True
49,75.80769,6.105115551522012,73.75,True
50,75.9,8.464960458003072,73.75,True
51,75.55556,10.3151722127058,74.35,True
52,72.0,8.845903006477066,74.78571,True
53,71.333336,7.685484153042454,74.78571,True
54,73.75,6.916712303609938,75.166664,True
55,76.7,11.020687617184128,75.416664,True
56,71.4,7.7774603109812706,75.416664,True
57,78.85714,11.502587700579543,75.55556,True
58,72.166664,8.782084035125152,75.55556,True
59,74.35,7.476072944177755,75.55556,True
60,79.0,7.199537022151726,75.55556,True
61,82.666664,7.054549359574054,75.55556,True
62,73.6875,10.924865151178233,75.55556,True
63,77.681816,9.993179492215496,75.55556,True
64,74.78571,6.707316545243354,75.55556,True
65,75.416664,7.017240673275121,75.94444,True
66,70.9,8.533593746026478,76.7,True
67,75.94444,6.738158337244515,77.681816,True
68,77.85714,7.8777867329297395,77.85714,True
69,75.21429,8.42544332590845,78.10714,True
70,78.8125,3.8816187713007424,78.25,True
71,72.8,8.64484432094259,78.25,True
72,78.25,8.26685605843655,78.8125,True
73,80.1,4.914830165484416,79.0,True
74,80.94444,7.950803593208541,78.8125,True
75,74.875,7.6962948582713855,78.8125,True
76,83.94444,4.26060767705474,79.166664,True
77,83.6,6.279596590015422,79.25,True
78,80.27778,7.5502943283321375,79.25,True
79,78.10714,9.131893753022071,79.59091,True
80,79.94444,8.431505071917933,79.59091,True
81,80.4,8.637129152675673,79.71429,True
82,79.25,5.852349955359813,79.71429,True
83,80.72222,9.849210346238142,79.71429,True
84,81.05556,7.290595159366468,79.94444,True
85,80.85714,8.28006786261585,80.1,True
86,81.22222,10.34743661224578,80.27778,True
87,78.166664,7.980444849756184,80.4,True
88,79.166664,8.746427842267948,80.4,True
89,81.28571,7.565586245499765,80.72222,True
90,82.0,8.76427407147905,80.4,True
91,78.9,8.171087238958268,80.4,True
92,79.59091,9.583366271353146,80.72222,True
93,79.27778,8.109065571596053,80.72222,True
94,79.71429,6.4862491912837115,80.85714,True
95,77.5,9.255628917943213,81.0,True
96,79.0625,5.178509851850655,81.05556,True
97,84.13636,6.730865134181895,81.22222,True
98,81.5,8.430387213611755,81.22222,True
99,84.5,7.84219357067906,81.28571,True
100,86.6875,5.824440500413505,81.28571,True
101,82.25,8.391463916782737,81.5,True
102,82.57143,8.079957567073869,82.0,True
103,77.833336,10.235558932792419,82.0,True
104,84.78571,11.067433995199394,81.75,True
105,82.78571,10.045136231269437,81.75,True
