file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,variances,,,,,,covariances,,,custom_variables,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,cell_t_mean,int_p_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--
TOA5_45735.high_freq_2024_06_04_1600.dat,2024-06-04,16:30,156.6873,1,36000,36000,-0.148500,1,8.98290,1,63.0254,1,12.3792,1,1.41143,1,-9999,-9999,-9999,-9999,0.667346E-10,0.198632E-11,12.1499,368.305,371.312,0.00000,1,361.633,10.9624,11.0839,0.00000,0,283.470,282.487,77746.4,0.954876,1011.24,0.303136E-01,0.914605E-01,0.651664E-02,849.548,1170.70,0.682459E-02,72.5677,321.149,277.775,1.21361,-2.06659,0.845973E-03,2.39659,-0.226123E-12,0.549262E-14,2.39659,5.78807,114.650,300.424,0.202248E-01,-9999,0.394356,1.53844,-497.582,-0.433396E-02,0.142528,-0.235898E-01,0,52.8064,-8.01357,18.1267,45.1381,68.8384,96.5469,144.645,-0.147178,1.00898,12.2831,1.01714,57.7797,1.06967,10.7145,1.06967,1.29395,1.06967,800000099,800000099,800000099,800001199,800001099,800001099,899999999,899999999,89999,89999,89,89,0,3,5,9,290,109,1.16870,1.79529,0.112885,0.131315,0.146923,689.936,0.127205E-01,0.107145E-01,1.29395,282.071,78137.5
TOA5_45735.high_freq_2024_06_04_1630.dat,2024-06-04,17:00,156.7082,1,36000,36000,-0.107097,0,-6.71451,2,102.584,0,-1.32628,1,2.29615,0,-0.631180,-0.928863,0.405522,-0.207908E-01,0.633171E-10,0.174788E-11,12.5082,378.388,381.476,0.500000E-01,0,345.293,10.4455,10.5557,0.00000,0,282.886,281.951,77746.4,0.956878,1010.95,0.302511E-01,0.148790,0.622218E-02,809.623,1129.11,0.650259E-02,71.7044,319.488,277.089,2.01969,-1.48798,-0.164640E-01,2.50869,-0.679784E-13,0.506203E-14,2.50869,7.11584,85.7754,323.620,-0.376024,-9999,0.334549,1.25159,406.384,0.530656E-02,-0.654539E-01,0.207476E-01,0,43.6912,-6.63031,14.9978,37.3466,56.9559,79.8815,119.677,-0.106234,1.00812,-1.04528,1.01729,94.4879,1.07840,-1.74747,1.07840,2.11493,1.07840,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,1,9,0,7,98,6,0.835078,1.53764,0.130469,0.915110E-01,0.731959E-02,278.897,-0.108055E-02,-0.174747E-02,2.11493,281.720,78152.0
TOA5_45735.high_freq_2024_06_04_1700.dat,2024-06-04,17:30,156.7290,1,36000,36000,-0.268289E-01,2,4.03089,0,62.7267,0,-2.51680,0,1.40409,0,0.643293E-01,-0.578737E-01,0.100399,-0.129546E-02,0.473148E-09,0.129357E-10,12.5885,380.885,384.017,0.00000,0,344.165,10.4133,10.5228,0.00000,0,282.938,282.005,77746.4,0.956704,1010.93,0.302566E-01,0.909851E-01,0.620185E-02,807.134,1133.29,0.648252E-02,71.2202,326.160,277.045,0.181805,-3.02476,0.126266,3.03284,0.287397E-12,0.375859E-13,3.03284,5.96467,132.766,273.440,2.38608,-9999,0.167461,1.17259,-84.9002,-0.254004E-01,0.642611E-01,-0.248878E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.265881E-01,1.00906,7.34250,1.01834,57.1017,1.08313,-2.98762,1.08313,1.27818,1.08313,800000099,800000099,800000099,800000099,800000099,800001099,899999999,899999999,89999,89999,89,89,4,1,4,1,44,1,1.55567,0.732664,0.568392E-01,0.760849E-01,0.690986E-02,324.238,0.759178E-02,-0.298762E-02,1.27818,282.075,78161.7
TOA5_45735.high_freq_2024_06_04_1730.dat,2024-06-04,18:00,156.7498,1,36000,36000,-0.347230E-01,1,-3.53466,2,48.2321,0,-0.851358,0,1.07932,0,-0.371504,0.341677,0.295410,0.764589E-02,-0.190515E-09,-0.520337E-11,12.8446,388.223,391.580,0.00000,0,350.813,10.6032,10.7168,0.00000,0,282.638,281.690,77746.4,0.957707,1011.03,0.302246E-01,0.699397E-01,0.632166E-02,821.806,1109.35,0.660083E-02,74.0798,287.546,277.301,0.282510,-3.58133,0.137920,3.59510,-0.678289E-14,-0.148323E-13,3.59510,6.06365,135.384,274.510,2.19860,-9999,0.190411,0.456770,142.335,0.151509E-01,-0.732842E-01,0.191715E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.344097E-01,1.00910,-0.923578,1.02026,43.2893,1.10710,-0.995923,1.10710,0.968708,1.10710,800000099,800000099,800000099,800000099,800000099,800001099,899999999,899999999,89999,89999,89,89,12,2,1,17,2,0,0.630609,0.230693,0.522371E-01,0.482144E-01,0.204956E-02,162.002,-0.953840E-03,-0.995923E-03,0.968708,281.792,78150.8
TOA5_45735.high_freq_2024_06_04_1800.dat,2024-06-04,18:30,156.7707,0,36000,36000,-0.225205E-01,1,-5.57570,1,31.9874,0,1.09010,0,0.715465,0,-0.577519,0.483394,0.527449E-01,0.108121E-01,-0.131773E-09,-0.367761E-11,12.9092,389.531,393.056,0.00000,0,360.280,10.8713,10.9908,0.00000,0,282.171,281.201,77746.4,0.959277,1011.17,0.301747E-01,0.463621E-01,0.649225E-02,842.516,1073.08,0.676786E-02,78.5136,230.567,277.656,0.994978,-1.33696,0.477931E-01,1.66725,-0.211435E-12,-0.102076E-13,1.66725,3.97711,102.063,306.657,1.64266,-9999,0.153220,0.509079,47.0163,0.458671E-01,-0.174309,0.375157E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.223203E-01,1.00897,-3.73012,1.01818,29.9891,1.06606,1.00951,1.06606,0.670767,1.06606,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,1,0,3,3,1,0,0.502586,0.485637,0.299350E-01,0.153484,0.155983E-02,123.370,-0.384551E-02,0.100951E-02,0.670767,281.266,78152.7
TOA5_45735.high_freq_2024_06_04_1830.dat,2024-06-04,19:00,156.7915,0,36000,36000,-0.118770E-01,1,-9.71892,1,16.9738,0,2.29704,0,0.379397,0,-0.836127,-0.148600,0.545748E-01,-0.332149E-02,0.143912E-10,0.397230E-12,12.9869,390.881,394.451,0.00000,0,358.468,10.7892,10.9069,0.00000,0,281.455,280.494,77746.4,0.961724,1011.12,0.300980E-01,0.245849E-01,0.645959E-02,836.170,1022.57,0.671668E-02,81.7715,186.399,277.548,0.216119,-1.03774,0.351210E-01,1.06059,0.228123E-12,0.110813E-14,1.06059,3.54568,133.789,281.764,1.89767,-9999,0.111129,0.446155,10.2909,0.209555,-0.572585,0.899372E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.117141E-01,1.01390,-8.54130,1.02805,16.1093,1.07780,2.42342,1.07780,0.360075,1.07780,800000099,800000099,800000099,800000099,800000099,800001099,899999999,899999999,89999,89999,89,89,0,7,0,0,11,0,0.420437,0.452498,0.193745E-01,0.151111,0.717352E-02,83.3557,-0.878361E-02,0.242342E-02,0.360075,280.502,78169.1
TOA5_45735.high_freq_2024_06_04_1900.dat,2024-06-04,19:30,156.8123,0,36000,36000,-0.154481E-01,1,-4.08363,1,14.3097,1,2.03418,1,0.319695,1,-0.599904,-0.514876,0.281493E-01,-0.115029E-01,-0.133904E-09,-0.359235E-11,13.0347,391.576,395.163,0.00000,0,349.694,10.5052,10.6167,0.00000,0,280.922,279.988,77746.4,0.963565,1010.95,0.300410E-01,0.207162E-01,0.630149E-02,814.233,987.701,0.653976E-02,82.4372,173.468,277.169,0.108771,-1.51243,0.656229E-01,1.51776,0.566895E-13,-0.102729E-13,1.51776,3.18534,138.524,274.114,2.47805,-9999,0.126618,0.270647,36.2249,0.595310E-01,-0.285376,0.331084E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.153024E-01,1.00952,-3.23014,1.01920,13.5025,1.06604,1.97418,1.06604,0.301662,1.06604,800000099,800000099,800000099,800000099,800000099,800001099,899999999,899999999,89999,89999,89,89,0,3,1,6,26,0,0.377750,0.148499,0.150451E-01,0.901070E-01,0.714800E-02,74.3526,-0.331597E-02,0.197418E-02,0.301662,279.961,78193.1
TOA5_45735.high_freq_2024_06_04_1930.dat,2024-06-04,20:00,156.8332,0,36000,36000,-0.147702E-01,0,-7.10325,0,11.0512,0,1.43818,0,0.246768,0,-0.645726,-0.318739,-0.778043E-01,-0.711730E-02,0.944717E-11,0.250443E-12,12.9968,389.659,393.112,0.00000,0,344.544,10.3298,10.4376,0.00000,0,280.360,279.444,77746.4,0.965503,1010.85,0.299810E-01,0.159906E-01,0.620869E-02,800.685,951.408,0.643052E-02,84.1579,150.723,276.931,0.339332,-2.28915,0.947559E-01,2.31611,0.542398E-13,0.726881E-15,2.31611,4.02651,130.947,278.432,2.34472,-9999,0.123685,0.256698,19.4106,0.111099,-0.642760,0.588439E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.146010E-01,1.01159,-6.35761,1.02456,10.2514,1.10612,1.51958,1.10612,0.228909,1.10612,800000099,800000099,800000099,800000099,800000099,800010099,899999999,899999999,89999,89999,89,89,11,1,3,4,3,8,0.213813,0.272662,0.269194E-01,0.123799,0.229333E-02,21.6403,-0.651411E-02,0.151958E-02,0.228909,279.438,78222.0
TOA5_45735.high_freq_2024_06_04_2000.dat,2024-06-04,20:30,156.8540,0,36000,36000,-0.291820E-02,2,-4.13821,1,5.72280,1,1.73690,1,0.127776,1,-0.112699,0.656806,0.117145,0.146649E-01,0.106437E-09,0.289883E-11,13.0961,392.545,396.108,0.00000,0,356.675,10.6911,10.8066,0.00000,0,280.297,279.349,77746.4,0.965701,1011.04,0.299743E-01,0.827991E-02,0.642728E-02,828.593,945.183,0.665556E-02,87.6647,116.591,277.419,-0.677472E-02,-0.662674,0.334496E-01,0.663552,-0.282520E-13,0.812737E-14,0.663552,3.25717,133.799,269.414,2.88950,-9999,0.549713E-01,0.253074,2.92528,0.737193,-0.723109,0.771017E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.284014E-02,1.02748,-3.62564,1.05546,5.28680,1.11678,1.68843,1.11678,0.118041,1.11678,800000099,800000099,800000099,800000099,800000099,800100099,899999999,899999999,89999,89999,89,89,1,0,4,1,6,0,0.289115,0.198110,0.189239E-01,0.200912,0.174825E-01,30.9661,-0.371341E-02,0.168843E-02,0.118041,279.338,78242.7
